Enanta Pharmaceuticals Quarterly Net Income (Millions of US $),Enanta Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-12-31,$-22
2024-09-30,$-29
2024-06-30,$-23
2024-03-31,$-31
2023-12-31,$-33
2023-09-30,$-28
2023-06-30,$-39
2023-03-31,$-38
2022-12-31,$-29
2022-09-30,$-26
2022-06-30,$-32
2022-03-31,$-34
2021-12-31,$-30
2021-09-30,$-25
2021-06-30,$-24
2021-03-31,$-22
2020-12-31,$-8
2020-09-30,$-29
2020-06-30,$-14
2020-03-31,$-6
2019-12-31,$13
2019-09-30,$9
2019-06-30,$7
2019-03-31,$4
2018-12-31,$26
2018-09-30,$27
2018-06-30,$20
2018-03-31,$13
2017-12-31,$12
2017-09-30,$37
2017-06-30,$-8
2017-03-31,$-5
2016-12-31,$-5
2016-09-30,$-2
2016-06-30,$-1
2016-03-31,$-2
2015-12-31,$26
2015-09-30,$6
2015-06-30,$2
2015-03-31,$29
2014-12-31,$42
2014-09-30,$-5
2014-06-30,$50
2014-03-31,$-5
2013-12-31,$-5
2013-09-30,$-4
2013-06-30,$-4
2013-03-31,$-5
2012-12-31,$2
2012-09-30,$-5
2012-06-30,$-5
2012-03-31,$3
2011-09-30,
2010-09-30,
