REX American Resources Quarterly Net Income (Millions of US $),REX American Resources Quarterly Net Income (Millions of US $).1
2024-10-31,$25
2024-07-31,$12
2024-04-30,$10
2024-01-31,$21
2023-10-31,$26
2023-07-31,$9
2023-04-30,$5
2023-01-31,$8
2022-10-31,$3
2022-07-31,$11
2022-04-30,$5
2022-01-31,$21
2021-10-31,$15
2021-07-31,$8
2021-04-30,$8
2021-01-31,$4
2020-10-31,$9
2020-07-31,$-2
2020-04-30,$-8
2020-01-31,$4
2019-10-31,$-2
2019-07-31,$2
2019-04-30,$3
2019-01-31,$1
2018-10-31,$12
2018-07-31,$9
2018-04-30,$9
2018-01-31,$19
2017-10-31,$13
2017-07-31,$3
2017-04-30,$5
2017-01-31,$12
2016-10-31,$9
2016-07-31,$8
2016-04-30,$3
2016-01-31,$4
2015-10-31,$7
2015-07-31,$16
2015-04-30,$4
2015-01-31,$20
2014-10-31,$23
2014-07-31,$22
2014-04-30,$22
2014-01-31,$16
2013-10-31,$10
2013-07-31,$6
2013-04-30,$4
2013-01-31,$-4
2012-10-31,$0
2012-07-31,$1
2012-04-30,$1
2012-01-31,$15
2011-10-31,$6
2011-07-31,$2
2011-04-30,$5
2011-01-31,$-5
2010-10-31,$4
2010-07-31,$1
2010-04-30,$4
2010-01-31,$7
2009-10-31,$2
2009-07-31,$1
2009-04-30,$-2
2009-01-31,$-5
