Lands' End Quarterly Net Income (Millions of US $),Lands' End Quarterly Net Income (Millions of US $).1
2024-10-31,$-1
2024-07-31,$-5
2024-04-30,$-6
2024-01-31,$-9
2023-10-31,$-112
2023-07-31,$-8
2023-04-30,$-2
2023-01-31,$-3
2022-10-31,$-5
2022-07-31,$-2
2022-04-30,$-2
2022-01-31,$7
2021-10-31,$7
2021-07-31,$16
2021-04-30,$3
2021-01-31,$20
2020-10-31,$7
2020-07-31,$4
2020-04-30,$-21
2020-01-31,$26
2019-10-31,$4
2019-07-31,$-3
2019-04-30,$-7
2019-01-31,$16
2018-10-31,$3
2018-07-31,$-5
2018-04-30,$-3
2018-01-31,$40
2017-10-31,$0
2017-07-31,$-4
2017-04-30,$-8
2017-01-31,$-95
2016-10-31,$-7
2016-07-31,$-2
2016-04-30,$-6
2016-01-31,$-39
2015-10-31,$11
2015-07-31,$7
2015-04-30,$2
2015-01-31,$33
2014-10-31,$18
2014-07-31,$12
2014-04-30,$11
2014-01-31,$46
2013-10-31,$14
2013-07-31,$11
2013-04-30,$7
2013-01-31,
2012-01-31,
