KKR Real Estate Finance Trust Quarterly Net Income (Millions of US $),KKR Real Estate Finance Trust Quarterly Net Income (Millions of US $).1
2024-12-31,$15
2024-09-30,$-13
2024-06-30,$20
2024-03-31,$-9
2023-12-31,$-19
2023-09-30,$21
2023-06-30,$-26
2023-03-31,$-31
2022-12-31,$15
2022-09-30,$-48
2022-06-30,$19
2022-03-31,$30
2021-12-31,$35
2021-09-30,$32
2021-06-30,$29
2021-03-31,$29
2020-12-31,$29
2020-09-30,$31
2020-06-30,$29
2020-03-31,$-35
2019-12-31,$25
2019-09-30,$24
2019-06-30,$17
2019-03-31,$25
2018-12-31,$20
2018-09-30,$21
2018-06-30,$23
2018-03-31,$23
2017-12-31,$17
2017-09-30,$17
2017-06-30,$14
2017-03-31,$10
2016-12-31,$11
2016-09-30,$10
2016-06-30,$9
2016-03-31,$1
2015-12-31,
