RealReal Quarterly Net Income (Millions of US $),RealReal Quarterly Net Income (Millions of US $).1
2024-12-31,$-68
2024-09-30,$-18
2024-06-30,$-17
2024-03-31,$-31
2023-12-31,$-22
2023-09-30,$-23
2023-06-30,$-41
2023-03-31,$-83
2022-12-31,$-39
2022-09-30,$-47
2022-06-30,$-53
2022-03-31,$-57
2021-12-31,$-52
2021-09-30,$-57
2021-06-30,$-71
2021-03-31,$-56
2020-12-31,$-51
2020-09-30,$-44
2020-06-30,$-43
2020-03-31,$-39
2019-12-31,$-23
2019-09-30,$-25
2019-06-30,$-27
2019-03-31,$-27
2018-12-31,
2018-09-30,$-25
2018-06-30,$-19
2017-12-31,
