Health Catalyst Quarterly Net Income (Millions of US $),Health Catalyst Quarterly Net Income (Millions of US $).1
2024-12-31,$-21
2024-09-30,$-15
2024-06-30,$-14
2024-03-31,$-21
2023-12-31,$-30
2023-09-30,$-22
2023-06-30,$-33
2023-03-31,$-33
2022-12-31,$-36
2022-09-30,$-46
2022-06-30,$-33
2022-03-31,$-22
2021-12-31,$-49
2021-09-30,$-40
2021-06-30,$-36
2021-03-31,$-28
2020-12-31,$-43
2020-09-30,$-27
2020-06-30,$-27
2020-03-31,$-17
2019-12-31,$-14
2019-09-30,$-40
2019-06-30,$-109
2019-03-31,$-78
2018-12-31,
2018-09-30,$-17
2017-12-31,
