Gladstone Investment Quarterly Net Income (Millions of US $),Gladstone Investment Quarterly Net Income (Millions of US $).1
2024-12-31,$38
2024-09-30,$15
2024-06-30,$-7
2024-03-31,$23
2023-12-31,$7
2023-09-30,$47
2023-06-30,$9
2023-03-31,$5
2022-12-31,$16
2022-09-30,$3
2022-06-30,$12
2022-03-31,$17
2021-12-31,$10
2021-09-30,$28
2021-06-30,$47
2021-03-31,$21
2020-12-31,$15
2020-09-30,$7
2020-06-30,$0
2020-03-31,$-38
2019-12-31,$13
2019-09-30,$11
2019-06-30,$6
2019-03-31,$2
2018-12-31,$16
2018-09-30,$30
2018-06-30,$32
2018-03-31,$22
2017-12-31,$17
2017-09-30,$14
2017-06-30,$8
2017-03-31,$9
2016-12-31,$11
2016-09-30,$-0
2016-06-30,$25
2016-03-31,$23
2015-12-31,$-6
2015-09-30,$-0
2015-06-30,$9
2015-03-31,$29
2014-12-31,$8
2014-09-30,$3
2014-06-30,$11
2014-03-31,$1
2013-12-31,$-11
2013-09-30,$15
2013-06-30,$-7
2013-03-31,$16
2012-12-31,$5
2012-09-30,$-0
2012-06-30,$-3
2012-03-31,$-0
2011-12-31,$5
2011-09-30,$13
2011-06-30,$4
2011-03-31,$3
2010-12-31,$15
2010-09-30,$-7
2010-06-30,$5
2010-03-31,$21
2009-12-31,$-4
2009-09-30,$-18
2009-06-30,$-9
2009-03-31,$-4
