Penguin Solutions Quarterly Net Income (Millions of US $),Penguin Solutions Quarterly Net Income (Millions of US $).1
2024-11-30,$5
2024-08-31,$-25
2024-05-31,$6
2024-02-29,$-14
2023-11-30,$-20
2023-08-31,$-141
2023-05-31,$-24
2023-02-28,$-27
2022-11-30,$5
2022-08-31,$20
2022-05-31,$24
2022-02-28,$2
2021-11-30,$20
2021-08-31,$21
2021-05-31,$-7
2021-02-28,$6
2020-11-30,$2
2020-08-31,$8
2020-05-31,$1
2020-02-29,$-10
2019-11-30,$0
2019-08-31,$6
2019-05-31,$2
2019-02-28,$13
2018-11-30,$31
2018-08-31,$30
2018-05-31,$32
2018-02-28,$37
2017-11-30,$21
2017-08-31,$-10
2017-05-31,$8
2017-02-28,$-2
2016-11-30,$-3
2016-08-31,
2016-05-31,$-1
2015-08-31,
