Ambac Financial Quarterly Net Income (Millions of US $),Ambac Financial Quarterly Net Income (Millions of US $).1
2024-12-31,$-548
2024-09-30,$-27
2024-06-30,$-1
2024-03-31,$20
2023-12-31,$-16
2023-09-30,$66
2023-06-30,$-13
2023-03-31,$-33
2022-12-31,$175
2022-09-30,$340
2022-06-30,$5
2022-03-31,$2
2021-12-31,$-23
2021-09-30,$17
2021-06-30,$-28
2021-03-31,$17
2020-12-31,$-14
2020-09-30,$-108
2020-06-30,$-35
2020-03-31,$-280
2019-12-31,$-111
2019-09-30,$66
2019-06-30,$-128
2019-03-31,$-43
2018-12-31,$-20
2018-09-30,$-104
2018-06-30,$4
2018-03-31,$306
2017-12-31,$-20
2017-09-30,$-191
2017-06-30,$7
2017-03-31,$-125
2016-12-31,$-95
2016-09-30,$101
2016-06-30,$59
2016-03-31,$9
2015-12-31,$387
2015-09-30,$-391
2015-06-30,$283
2015-03-31,$215
2014-12-31,$454
2014-09-30,$82
2014-06-30,$-208
2014-03-31,$156
2013-12-31,$69
2013-09-30,$231
2013-06-30,"$3,272"
2013-03-31,$282
2012-12-31,$144
2012-09-30,$158
2012-06-30,$-811
2012-03-31,$253
2011-12-31,$-963
2011-09-30,$-76
2011-06-30,$-102
2011-03-31,$-819
2010-12-31,$-82
2010-09-30,$76
2010-06-30,$-58
2010-03-31,$-690
2009-12-31,$558
2009-09-30,"$2,188"
2009-06-30,"$-2,369"
2009-03-31,$-392
