Service Properties Trust Quarterly Net Income (Millions of US $),Service Properties Trust Quarterly Net Income (Millions of US $).1
2024-12-31,$-76
2024-09-30,$-47
2024-06-30,$-74
2024-03-31,$-78
2023-12-31,$-43
2023-09-30,$-4
2023-06-30,$-11
2023-03-31,$26
2022-12-31,$-31
2022-09-30,$8
2022-06-30,$11
2022-03-31,$-120
2021-12-31,$-199
2021-09-30,$-60
2021-06-30,$-91
2021-03-31,$-195
2020-12-31,$-138
2020-09-30,$-103
2020-06-30,$-37
2020-03-31,$-34
2019-12-31,$-15
2019-09-30,$40
2019-06-30,$9
2019-03-31,$226
2018-12-31,$-109
2018-09-30,$117
2018-06-30,$97
2018-03-31,$80
2017-12-31,$32
2017-09-30,$86
2017-06-30,$61
2017-03-31,$26
2016-12-31,$58
2016-09-30,$47
2016-06-30,$51
2016-03-31,$47
2015-12-31,$-25
2015-09-30,$56
2015-06-30,$78
2015-03-31,$36
2014-12-31,$51
2014-09-30,$44
2014-06-30,$49
2014-03-31,$32
2013-12-31,$28
2013-09-30,$17
2013-06-30,$37
2013-03-31,$19
2012-12-31,$19
2012-09-30,$29
2012-06-30,$27
2012-03-31,$29
2011-12-31,$31
2011-09-30,$40
2011-06-30,$44
2011-03-31,$46
2010-12-31,$-100
2010-09-30,$43
2010-06-30,$16
2010-03-31,$33
2009-12-31,$26
2009-09-30,$41
2009-06-30,$44
2009-03-31,$54
