Priority Technology Holdings Quarterly Net Income (Millions of US $),Priority Technology Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-4
2024-09-30,$5
2024-06-30,$-18
2024-03-31,$-8
2023-12-31,$-13
2023-09-30,$-12
2023-06-30,$-12
2023-03-31,$-12
2022-12-31,$-12
2022-09-30,$-10
2022-06-30,$-8
2022-03-31,$-9
2021-12-31,$9
2021-09-30,$-6
2021-06-30,$-24
2021-03-31,$-3
2020-12-31,$-1
2020-09-30,$40
2020-06-30,$-8
2020-03-31,$-6
2019-12-31,$-7
2019-09-30,$-6
2019-06-30,$-14
2019-03-31,$-6
2018-12-31,$-6
2018-09-30,$-3
2018-06-30,$-6
2018-03-31,$-3
2017-12-31,$2
2017-09-30,$2
2017-06-30,$-0
2017-03-31,$-0
2016-12-31,
