Americas Gold And Silver Quarterly Net Income (Millions of US $),Americas Gold And Silver Quarterly Net Income (Millions of US $).1
2024-09-30,$-14
2024-06-30,$-5
2024-03-31,$-14
2023-12-31,$-10
2023-09-30,$-9
2023-06-30,$-6
2023-03-31,$-10
2022-12-31,$-11
2022-09-30,$-23
2022-06-30,$-7
2022-03-31,$-1
2021-12-31,$-31
2021-09-30,$-18
2021-06-30,$-17
2021-03-31,$-91
2020-12-31,$-7
2020-09-30,$-5
2020-06-30,$-9
2020-03-31,$-4
2019-12-31,$-13
2019-09-30,$-9
2019-06-30,$-8
2019-03-31,$-3
2018-12-31,$-7
2018-09-30,$-6
2018-06-30,$1
2018-03-31,$1
2017-12-31,$-1
2017-09-30,$-3
2017-06-30,$1
2017-03-31,$-0
2016-12-31,$-2
2016-09-30,$1
2016-06-30,$-2
2016-03-31,$-2
2015-12-31,
