Phunware Quarterly Net Income (Millions of US $),Phunware Quarterly Net Income (Millions of US $).1
2024-09-30,$-3
2024-06-30,$-3
2024-03-31,$-2
2023-12-31,$-23
2023-09-30,$-19
2023-06-30,$-7
2023-03-31,$-4
2022-12-31,$-11
2022-09-30,$-8
2022-06-30,$-17
2022-03-31,$-15
2021-12-31,$-32
2021-09-30,$0
2021-06-30,$-8
2021-03-31,$-14
2020-12-31,$-6
2020-09-30,$-9
2020-06-30,$-4
2020-03-31,$-4
2019-12-31,$-4
2019-09-30,$-2
2019-06-30,$-3
2019-03-31,$-3
2018-12-31,$-9
2018-11-30,$-0
2018-09-30,$-4
2018-08-31,$-0
2018-06-30,$4
2018-05-31,$-0
2018-03-31,$-7
2018-02-28,$-0
2017-11-30,
2017-08-31,$-0
2017-05-31,$-0
2017-02-28,$-0
2016-12-31,$-0
2016-11-30,
2016-09-30,$-0
2016-08-31,$-0
2016-06-30,$-0
2016-05-31,$0
2016-03-31,$0
2016-02-29,$-0
