Rafael Holdings Quarterly Net Income (Millions of US $),Rafael Holdings Quarterly Net Income (Millions of US $).1
2025-01-31,$-5
2024-10-31,$-9
2024-07-31,$-4
2024-04-30,$-32
2024-01-31,$6
2023-10-31,$-4
2023-07-31,$1
2023-04-30,$-1
2023-01-31,$-3
2022-10-31,$2
2022-07-31,$-5
2022-04-30,$-6
2022-01-31,$-2
2021-10-31,$-112
2021-07-31,$-12
2021-04-30,$-3
2021-01-31,$-8
2020-10-31,$-1
2020-07-31,$-5
2020-04-30,$-2
2020-01-31,$-1
2019-10-31,$-2
2019-07-31,$-2
2019-04-30,$-1
2019-01-31,$-1
2018-10-31,$-0
2018-07-31,$-1
2018-04-30,$-1
2018-01-31,$-1
2017-10-31,$-9
2017-07-31,
2017-04-30,$-0
2017-01-31,$0
2016-07-31,
