FibroGen Quarterly Net Income (Millions of US $),FibroGen Quarterly Net Income (Millions of US $).1
2024-09-30,$-17
2024-06-30,$-16
2024-03-31,$-33
2023-12-31,$-56
2023-09-30,$-64
2023-06-30,$-88
2023-03-31,$-77
2022-12-31,$-66
2022-09-30,$-92
2022-06-30,$-73
2022-03-31,$-63
2021-12-31,$-134
2021-09-30,$50
2021-06-30,$-134
2021-03-31,$-72
2020-12-31,$-59
2020-09-30,$33
2020-06-30,$-85
2020-03-31,$-78
2019-12-31,$-98
2019-09-30,$-49
2019-06-30,$116
2019-03-31,$-45
2018-12-31,$21
2018-09-30,$-43
2018-06-30,$-23
2018-03-31,$-41
2017-12-31,$-34
2017-09-30,$-24
2017-06-30,$-32
2017-03-31,$-31
2016-12-31,$-30
2016-09-30,$-24
2016-06-30,$24
2016-03-31,$-28
2015-12-31,$-51
2015-09-30,$-45
2015-06-30,$57
2015-03-31,$-46
2014-12-31,$-51
2014-09-30,$-40
2014-06-30,$18
2014-03-31,$-16
2013-12-31,
2012-12-31,
