Wabash National Quarterly Net Income (Millions of US $),Wabash National Quarterly Net Income (Millions of US $).1
2024-12-31,$-1
2024-09-30,$-330
2024-06-30,$29
2024-03-31,$18
2023-12-31,$50
2023-09-30,$55
2023-06-30,$74
2023-03-31,$51
2022-12-31,$41
2022-09-30,$36
2022-06-30,$23
2022-03-31,$12
2021-12-31,$-25
2021-09-30,$11
2021-06-30,$12
2021-03-31,$3
2020-12-31,$5
2020-09-30,$4
2020-06-30,$-0
2020-03-31,$-107
2019-12-31,$18
2019-09-30,$25
2019-06-30,$31
2019-03-31,$15
2018-12-31,$12
2018-09-30,$5
2018-06-30,$32
2018-03-31,$21
2017-12-31,$49
2017-09-30,$19
2017-06-30,$23
2017-03-31,$20
2016-12-31,$23
2016-09-30,$33
2016-06-30,$36
2016-03-31,$28
2015-12-31,$33
2015-09-30,$32
2015-06-30,$29
2015-03-31,$10
2014-12-31,$19
2014-09-30,$18
2014-06-30,$16
2014-03-31,$7
2013-12-31,$11
2013-09-30,$16
2013-06-30,$14
2013-03-31,$6
2012-12-31,$79
2012-09-30,$18
2012-06-30,$2
2012-03-31,$5
2011-12-31,$7
2011-09-30,$1
2011-06-30,$3
2011-03-31,$3
2010-12-31,$5
2010-09-30,$-2
2010-06-30,$-29
2010-03-31,$-141
2009-12-31,$9
2009-09-30,$-68
2009-06-30,$-18
2009-03-31,$-28
