KORU Medical Systems Quarterly Net Income (Millions of US $),KORU Medical Systems Quarterly Net Income (Millions of US $).1
2024-12-31,$-2
2024-09-30,$-2
2024-06-30,$-1
2024-03-31,$-2
2023-12-31,$-7
2023-09-30,$-1
2023-06-30,$-2
2023-03-31,$-2
2022-12-31,$-2
2022-09-30,$-1
2022-06-30,$-3
2022-03-31,$-3
2021-12-31,$-1
2021-09-30,$-1
2021-06-30,$-1
2021-03-31,$-1
2020-12-31,$-1
2020-09-30,$0
2020-06-30,$-1
2020-03-31,$0
2019-12-31,$-0
2019-09-30,$1
2019-06-30,$0
2019-03-31,$-0
2018-12-31,$-0
2018-09-30,$0
2018-06-30,$0
2018-03-31,$0
2017-12-31,$0
2017-09-30,$0
2017-06-30,$0
2017-03-31,$0
2017-02-28,
2016-11-30,$-0
2016-09-30,$-0
2016-08-31,$-0
2016-06-30,$-0
2016-05-31,$-0
2016-02-29,
2015-11-30,$0
2015-08-31,$0
2015-05-31,$-0
2015-02-28,
2014-11-30,$0
2014-08-31,$0
2014-05-31,$0
2014-02-28,
2013-11-30,$0
2013-08-31,$0
2013-05-31,$0
2013-02-28,
2012-11-30,$0
2012-08-31,$0
2012-05-31,$0
2012-03-31,
2012-02-29,
2011-12-31,$0
2011-11-30,$0
2011-09-30,$0
2011-08-31,$0
2011-06-30,$0
2011-05-31,$0
2011-03-31,
2011-02-28,
2010-12-31,
2010-09-30,$0
2010-06-30,$0
2010-03-31,
2009-12-31,
2009-09-30,$0
2009-06-30,$0
2009-03-31,
