GoldMining Quarterly Net Income (Millions of US $),GoldMining Quarterly Net Income (Millions of US $).1
2024-11-30,$-6
2024-08-31,$-6
2024-05-31,$-4
2024-02-29,$-2
2023-11-30,$-5
2023-08-31,$-7
2023-05-31,$-5
2023-02-28,$-5
2022-11-30,$-3
2022-08-31,$-2
2022-05-31,$-2
2022-02-28,$-2
2021-11-30,$4
2021-08-31,$-6
2021-05-31,$84
2021-02-28,$-2
2020-11-30,$-3
2020-08-31,$-2
