Virgin Galactic Holdings Quarterly Net Income (Millions of US $),Virgin Galactic Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-76
2024-09-30,$-75
2024-06-30,$-94
2024-03-31,$-102
2023-12-31,$-104
2023-09-30,$-105
2023-06-30,$-134
2023-03-31,$-159
2022-12-31,$-151
2022-09-30,$-146
2022-06-30,$-111
2022-03-31,$-93
2021-12-31,$-81
2021-09-30,$-48
2021-06-30,$-94
2021-03-31,$-130
2020-12-31,$-104
2020-09-30,$-92
2020-06-30,$-72
2020-03-31,$-377
2019-12-31,$-77
2019-09-30,$-51
2019-06-30,$-44
2019-03-31,$-43
2018-12-31,$-143
2018-09-30,$3
2018-06-30,$-0
2018-03-31,$2
2017-12-31,
2017-09-30,$-0
