Benitec Biopharma Quarterly Net Income (Millions of US $),Benitec Biopharma Quarterly Net Income (Millions of US $).1
2024-12-31,$-7
2024-09-30,$-5
2024-06-30,$-5
2024-03-31,$-4
2023-12-31,$-7
2023-09-30,$-6
2023-06-30,$-5
2023-03-31,$-4
2022-12-31,$-5
2022-09-30,$-5
2022-06-30,$-5
2022-03-31,$-3
2021-12-31,$-5
2021-09-30,$-5
2021-06-30,$-4
2021-03-31,$-4
2020-12-31,$-3
2020-09-30,$-3
2020-06-30,$-3
2020-03-31,$-2
2019-12-31,
2019-09-30,$-1
2017-09-30,$-2
2016-09-30,$1
2016-06-30,
2016-03-31,
2015-12-31,
2015-06-30,
2014-12-31,
2014-06-30,
2013-06-30,
