Antelope Enterprise Holdings L Quarterly Net Income (Millions of US $),Antelope Enterprise Holdings L Quarterly Net Income (Millions of US $).1
2024-06-30,
2016-12-31,$-53
2016-09-30,$0
2016-06-30,$4
2016-03-31,$1
2015-12-31,$-65
2015-09-30,$4
2015-06-30,$3
2015-03-31,$0
2014-12-31,$1
2014-09-30,$6
2014-06-30,$0
2014-03-31,$-12
2013-12-31,$-2
2013-09-30,$1
2013-06-30,$2
2013-03-31,$-1
2012-12-31,$2
2012-09-30,$12
2012-06-30,$14
2012-03-31,$11
2011-12-31,$15
2011-09-30,$12
2011-06-30,$11
2011-03-31,$8
2010-12-31,$9
2010-09-30,$9
2010-06-30,$8
2010-03-31,$7
2009-12-31,$4
2009-09-30,$8
2009-06-30,$6
2009-03-31,$5
