Duluth Holdings Quarterly Net Income (Millions of US $),Duluth Holdings Quarterly Net Income (Millions of US $).1
2024-10-31,$-29
2024-07-31,$-4
2024-04-30,$-8
2024-01-31,$7
2023-10-31,$-10
2023-07-31,$-2
2023-04-30,$-4
2023-01-31,$7
2022-10-31,$-6
2022-07-31,$2
2022-04-30,$-1
2022-01-31,$17
2021-10-31,$3
2021-07-31,$9
2021-04-30,$1
2021-01-31,$22
2020-10-31,$1
2020-07-31,$6
2020-04-30,$-15
2020-01-31,$24
2019-10-31,$0
2019-07-31,$2
2019-04-30,$-8
2019-01-31,$21
2018-10-31,$-3
2018-07-31,$6
2018-04-30,$-1
2018-01-31,$20
2017-10-31,$-1
2017-07-31,$4
2017-04-30,$0
2017-01-31,$14
2016-10-31,$0
2016-07-31,$4
2016-04-30,$3
2016-01-31,$18
2015-10-31,$2
2015-07-31,$6
2015-04-30,$3
2015-01-31,
2014-10-31,$3
2014-07-31,
2014-01-31,
