Civeo Quarterly Net Income (Millions of US $),Civeo Quarterly Net Income (Millions of US $).1
2024-12-31,$-15
2024-09-30,$-5
2024-06-30,$8
2024-03-31,$-5
2023-12-31,$23
2023-09-30,$9
2023-06-30,$4
2023-03-31,$-6
2022-12-31,$-16
2022-09-30,$4
2022-06-30,$8
2022-03-31,$1
2021-12-31,$10
2021-09-30,$0
2021-06-30,$-0
2021-03-31,$-10
2020-12-31,$-2
2020-09-30,$7
2020-06-30,$6
2020-03-31,$-147
2019-12-31,$-32
2019-09-30,$5
2019-06-30,$-15
2019-03-31,$-17
2018-12-31,$-14
2018-09-30,$-14
2018-06-30,$-48
2018-03-31,$-55
2017-12-31,$-48
2017-09-30,$-22
2017-06-30,$-15
2017-03-31,$-21
2016-12-31,$-16
2016-09-30,$-42
2016-06-30,$-11
2016-03-31,$-27
2015-12-31,$-11
2015-09-30,$-108
2015-06-30,$-13
2015-03-31,$-0
2014-12-31,$-271
2014-09-30,$32
2014-06-30,$14
2014-03-31,$36
2013-12-31,$45
2013-09-30,$40
2013-06-30,$33
2013-03-31,$64
2012-12-31,
2011-12-31,
