Minerva Neurosciences Quarterly Net Income (Millions of US $),Minerva Neurosciences Quarterly Net Income (Millions of US $).1
2024-12-31,$-4
2024-09-30,$23
2024-06-30,$-8
2024-03-31,$-9
2023-12-31,$-9
2023-09-30,$-8
2023-06-30,$-6
2023-03-31,$-7
2022-12-31,$-7
2022-09-30,$-7
2022-06-30,$-9
2022-03-31,$-10
2021-12-31,$-21
2021-09-30,$-9
2021-06-30,$-11
2021-03-31,$-9
2020-12-31,$-7
2020-09-30,$-8
2020-06-30,$30
2020-03-31,$-12
2019-12-31,$-30
2019-09-30,$-14
2019-06-30,$-12
2019-03-31,$-16
2018-12-31,$-13
2018-09-30,$-12
2018-06-30,$-13
2018-03-31,$-12
2017-12-31,$0
2017-09-30,$-11
2017-06-30,$-10
2017-03-31,$-11
2016-12-31,$-9
2016-09-30,$-8
2016-06-30,$-5
2016-03-31,$-8
2015-12-31,$-8
2015-09-30,$-6
2015-06-30,$-7
2015-03-31,$-6
2014-12-31,$-7
2014-09-30,$-27
2014-06-30,$-19
2014-03-31,$-3
2013-12-31,
2013-09-30,$-0
2013-06-30,$-0
2012-12-31,
