Children's Place Quarterly Net Income (Millions of US $),Children's Place Quarterly Net Income (Millions of US $).1
2024-10-31,$20
2024-07-31,$-32
2024-04-30,$-38
2024-01-31,$-129
2023-10-31,$38
2023-07-31,$-35
2023-04-30,$-29
2023-01-31,$-51
2022-10-31,$43
2022-07-31,$-13
2022-04-30,$20
2022-01-31,$39
2021-10-31,$79
2021-07-31,$24
2021-04-30,$45
2021-01-31,$8
2020-10-31,$13
2020-07-31,$-47
2020-04-30,$-115
2020-01-31,$24
2019-10-31,$43
2019-07-31,$2
2019-04-30,$4
2019-01-31,$12
2018-10-31,$50
2018-07-31,$7
2018-04-30,$32
2018-01-31,$-10
2017-10-31,$44
2017-07-31,$14
2017-04-30,$36
2017-01-31,$34
2016-10-31,$44
2016-07-31,$-2
2016-04-30,$26
2016-01-31,$17
2015-10-31,$38
2015-07-31,$-14
2015-04-30,$16
2015-01-31,$17
2014-10-31,$37
2014-07-31,$-11
2014-04-30,$14
2014-01-31,$16
2013-10-31,$42
2013-07-31,$-24
2013-04-30,$19
2013-01-31,$19
2012-10-31,$37
2012-07-31,$-18
2012-04-30,$25
2012-01-31,$21
2011-10-31,$34
2011-07-31,$-10
2011-04-30,$29
2011-01-31,$28
2010-10-31,$31
2010-07-31,$-8
2010-04-30,$28
2010-01-31,$34
2009-10-31,$38
2009-07-31,$-7
2009-04-30,$24
2009-01-31,$39
