TherapeuticsMD Quarterly Net Income (Millions of US $),TherapeuticsMD Quarterly Net Income (Millions of US $).1
2024-09-30,$-1
2024-06-30,$-1
2024-03-31,$-1
2023-12-31,$-1
2023-09-30,$-3
2023-06-30,$-2
2023-03-31,$-4
2022-12-31,$78
2022-09-30,$-29
2022-06-30,$112
2022-03-31,$-49
2021-12-31,$-43
2021-09-30,$-47
2021-06-30,$-43
2021-03-31,$-39
2020-12-31,$-42
2020-09-30,$-33
2020-06-30,$-52
2020-03-31,$-57
2019-12-31,$-49
2019-09-30,$-32
2019-06-30,$-55
2019-03-31,$-40
2018-12-31,$-39
2018-09-30,$-36
2018-06-30,$-33
2018-03-31,$-24
2017-12-31,$-21
2017-09-30,$-15
2017-06-30,$-20
2017-03-31,$-21
2016-12-31,$-23
2016-09-30,$-25
2016-06-30,$-21
2016-03-31,$-21
2015-12-31,$-17
2015-09-30,$-19
2015-06-30,$-27
2015-03-31,$-21
2014-12-31,$-16
2014-09-30,$-18
2014-06-30,$-11
2014-03-31,$-9
2013-12-31,$-8
2013-09-30,$-8
2013-06-30,$-6
2013-03-31,$-6
2012-12-31,$-6
2012-09-30,$-4
2012-06-30,$-12
2012-03-31,$-13
2011-12-31,$-10
2011-09-30,$-1
2011-06-30,$-1
2011-03-31,$-1
