Trinseo Quarterly Net Income (Millions of US $),Trinseo Quarterly Net Income (Millions of US $).1
2024-12-31,$-118
2024-09-30,$-87
2024-06-30,$-68
2024-03-31,$-76
2023-12-31,$-265
2023-09-30,$-38
2023-06-30,$-349
2023-03-31,$-49
2022-12-31,$-365
2022-09-30,$-120
2022-06-30,$37
2022-03-31,$17
2021-12-31,$124
2021-09-30,$93
2021-06-30,$152
2021-03-31,$72
2020-12-31,$67
2020-09-30,$106
2020-06-30,$-128
2020-03-31,$-36
2019-12-31,$6
2019-09-30,$23
2019-06-30,$28
2019-03-31,$36
2018-12-31,$-1
2018-09-30,$75
2018-06-30,$98
2018-03-31,$120
2017-12-31,$118
2017-09-30,$33
2017-06-30,$60
2017-03-31,$117
2016-12-31,$78
2016-09-30,$67
2016-06-30,$96
2016-03-31,$77
2015-12-31,$43
2015-09-30,$52
2015-06-30,$1
2015-03-31,$38
2014-12-31,$-30
2014-09-30,$-10
2014-06-30,$-45
2014-03-31,$17
2013-12-31,$11
2013-09-30,$5
2013-06-30,$-28
2013-03-31,$-10
2012-12-31,
2011-12-31,
