Ashford Hospitality Trust Inc Quarterly Net Income (Millions of US $),Ashford Hospitality Trust Inc Quarterly Net Income (Millions of US $).1
2024-09-30,$-63
2024-06-30,$44
2024-03-31,$67
2023-12-31,$-31
2023-09-30,$-69
2023-06-30,$-29
2023-03-31,$-65
2022-12-31,$-60
2022-09-30,$-25
2022-06-30,$-9
2022-03-31,$-59
2021-12-31,$-59
2021-09-30,$-48
2021-06-30,$-69
2021-03-31,$-92
2020-12-31,$-70
2020-09-30,$-140
2020-06-30,$-215
2020-03-31,$-95
2019-12-31,$-40
2019-09-30,$-42
2019-06-30,$-27
2019-03-31,$-49
2018-12-31,$-65
2018-09-30,$-38
2018-06-30,$-29
2018-03-31,$-37
2017-12-31,$-48
2017-09-30,$-38
2017-06-30,$-1
2017-03-31,$-36
2016-12-31,$-57
2016-09-30,$-35
2016-06-30,$22
2016-03-31,$-18
2015-12-31,$-30
2015-09-30,$-25
2015-06-30,$-21
2015-03-31,$313
2014-12-31,$-22
2014-09-30,$-22
2014-06-30,$-10
2014-03-31,$-11
2013-12-31,$-26
2013-09-30,$-25
2013-06-30,$-1
2013-03-31,$-23
2012-12-31,$-21
2012-09-30,$-24
2012-06-30,$-13
2012-03-31,$-30
2011-12-31,$-18
2011-09-30,$-29
2011-06-30,$-29
2011-03-31,$31
2010-12-31,$-111
2010-09-30,$36
2010-06-30,$2
2010-03-31,$0
2009-12-31,$-77
2009-09-30,$-34
2009-06-30,$-166
2009-03-31,$7
