Sportsman's Warehouse Holdings Quarterly Net Income (Millions of US $),Sportsman's Warehouse Holdings Quarterly Net Income (Millions of US $).1
2024-10-31,$-0
2024-07-31,$-6
2024-04-30,$-18
2024-01-31,$-9
2023-10-31,$-1
2023-07-31,$-3
2023-04-30,$-16
2023-01-31,$11
2022-10-31,$13
2022-07-31,$15
2022-04-30,$2
2022-01-31,$58
2021-10-31,$22
2021-07-31,$18
2021-04-30,$10
2021-01-31,$30
2020-10-31,$30
2020-07-31,$32
2020-04-30,$-1
2020-01-31,$10
2019-10-31,$10
2019-07-31,$5
2019-04-30,$-5
2019-01-31,$11
2018-10-31,$12
2018-07-31,$7
2018-04-30,$-6
2018-01-31,$6
2017-10-31,$10
2017-07-31,$7
2017-04-30,$-5
2017-01-31,$11
2016-10-31,$11
2016-07-31,$8
2016-04-30,$0
2016-01-31,$11
2015-10-31,$10
2015-07-31,$8
2015-04-30,$-1
2015-01-31,$3
2014-10-31,$9
2014-07-31,$5
2014-04-30,$-3
2014-01-31,$7
2013-10-31,$2
2013-07-31,$8
2013-04-30,$4
2013-01-31,
2012-01-31,
