Designer Brands Quarterly Net Income (Millions of US $),Designer Brands Quarterly Net Income (Millions of US $).1
2025-01-31,$-38
2024-10-31,$13
2024-07-31,$14
2024-04-30,$1
2024-01-31,$-30
2023-10-31,$10
2023-07-31,$37
2023-04-30,$11
2023-01-31,$45
2022-10-31,$45
2022-07-31,$46
2022-04-30,$26
2022-01-31,$14
2021-10-31,$80
2021-07-31,$43
2021-04-30,$17
2021-01-31,$-134
2020-10-31,$-41
2020-07-31,$-98
2020-04-30,$-216
2020-01-31,$-8
2019-10-31,$43
2019-07-31,$27
2019-04-30,$31
2019-01-31,$-46
2018-10-31,$39
2018-07-31,$-38
2018-04-30,$24
2018-01-31,$12
2017-10-31,$4
2017-07-31,$29
2017-04-30,$23
2017-01-31,$30
2016-10-31,$39
2016-07-31,$25
2016-04-30,$30
2016-01-31,$12
2015-10-31,$39
2015-07-31,$38
2015-04-30,$47
2015-01-31,$31
2014-10-31,$50
2014-07-31,$34
2014-04-30,$39
2014-01-31,$28
2013-10-31,$55
2013-07-31,$34
2013-04-30,$35
2013-01-31,$27
2012-10-31,$50
2012-07-31,$29
2012-04-30,$40
2012-01-31,$19
2011-10-31,$54
2011-07-31,$140
2011-04-30,$-38
2011-01-31,$0
2010-10-31,$-3
2010-07-31,$27
2010-04-30,$30
2010-01-31,$13
2009-10-31,$27
2009-07-31,$8
2009-04-30,$7
2009-01-31,$-8
