Eastman Kodak Quarterly Net Income (Millions of US $),Eastman Kodak Quarterly Net Income (Millions of US $).1
2024-09-30,$18
2024-06-30,$26
2024-03-31,$25
2023-12-31,$-7
2023-09-30,$2
2023-06-30,$35
2023-03-31,$26
2022-12-31,$4
2022-09-30,$-1
2022-06-30,$16
2022-03-31,$-6
2021-12-31,$-9
2021-09-30,$5
2021-06-30,$13
2021-03-31,$13
2020-12-31,$15
2020-09-30,$-450
2020-06-30,$-10
2020-03-31,$-116
2019-12-31,$-67
2019-09-30,$-10
2019-06-30,$196
2019-03-31,$-23
2018-12-31,$-19
2018-09-30,$14
2018-06-30,$-1
2018-03-31,$-30
2017-12-31,$125
2017-09-30,$-51
2017-06-30,$-1
2017-03-31,$2
2016-12-31,$10
2016-09-30,$16
2016-06-30,$7
2016-03-31,$-18
2015-12-31,$24
2015-09-30,$-22
2015-06-30,$-24
2015-03-31,$-58
2014-12-31,$-42
2014-09-30,$17
2014-06-30,$-62
2014-03-31,$-36
2013-12-31,$-63
2013-09-30,"$1,989"
2013-06-30,$-224
2013-03-31,$283
2012-12-31,$-402
2012-09-30,$-312
2012-06-30,$-299
2012-03-31,$-366
2011-12-31,$-117
2011-09-30,$-222
2011-06-30,$-179
2011-03-31,$-246
2010-12-31,$-595
2010-09-30,$-43
2010-06-30,$-168
2010-03-31,$119
2009-12-31,$443
2009-09-30,$-111
2009-06-30,$-189
2009-03-31,$-353
