Fate Therapeutics Quarterly Net Income (Millions of US $),Fate Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-52
2024-09-30,$-48
2024-06-30,$-38
2024-03-31,$-48
2023-12-31,$-44
2023-09-30,$-45
2023-06-30,$-53
2023-03-31,$-19
2022-12-31,$-56
2022-09-30,$-84
2022-06-30,$-76
2022-03-31,$-66
2021-12-31,$-69
2021-09-30,$-43
2021-06-30,$-55
2021-03-31,$-45
2020-12-31,$-53
2020-09-30,$-59
2020-06-30,$-28
2020-03-31,$-34
2019-12-31,$-28
2019-09-30,$-27
2019-06-30,$-23
2019-03-31,$-20
2018-12-31,$-16
2018-09-30,$-17
2018-06-30,$-20
2018-03-31,$-14
2017-12-31,$-12
2017-09-30,$-11
2017-06-30,$-10
2017-03-31,$-10
2016-12-31,$-8
2016-09-30,$-9
2016-06-30,$-8
2016-03-31,$-8
2015-12-31,$-7
2015-09-30,$-7
2015-06-30,$-8
2015-03-31,$-8
2014-12-31,$-6
2014-09-30,$-7
2014-06-30,$-6
2014-03-31,$-7
2013-12-31,$-6
2013-09-30,$-6
2013-06-30,$-6
2013-03-31,$-4
2012-12-31,
2012-09-30,$-4
2011-12-31,
