3D Systems Quarterly Net Income (Millions of US $),3D Systems Quarterly Net Income (Millions of US $).1
2024-09-30,$-179
2024-06-30,$-27
2024-03-31,$-16
2023-12-31,$-293
2023-09-30,$-12
2023-06-30,$-29
2023-03-31,$-29
2022-12-31,$-26
2022-09-30,$-38
2022-06-30,$-33
2022-03-31,$-27
2021-12-31,$-6
2021-09-30,$293
2021-06-30,$-10
2021-03-31,$45
2020-12-31,$-20
2020-09-30,$-73
2020-06-30,$-38
2020-03-31,$-19
2019-12-31,$-5
2019-09-30,$-17
2019-06-30,$-24
2019-03-31,$-24
2018-12-31,$-4
2018-09-30,$-12
2018-06-30,$-9
2018-03-31,$-21
2017-12-31,$-10
2017-09-30,$-38
2017-06-30,$-8
2017-03-31,$-10
2016-12-31,$5
2016-09-30,$-21
2016-06-30,$-5
2016-03-31,$-18
2015-12-31,$-596
2015-09-30,$-32
2015-06-30,$-14
2015-03-31,$-13
2014-12-31,$2
2014-09-30,$3
2014-06-30,$2
2014-03-31,$5
2013-12-31,$11
2013-09-30,$18
2013-06-30,$9
2013-03-31,$6
2012-12-31,$11
2012-09-30,$14
2012-06-30,$8
2012-03-31,$6
2011-12-31,$8
2011-09-30,$7
2011-06-30,$13
2011-03-31,$7
2010-12-31,$9
2010-09-30,$5
2010-06-30,$3
2010-03-31,$2
2009-12-31,$4
2009-09-30,$1
2009-06-30,$-1
2009-03-31,$-2
