VOXX Quarterly Net Income (Millions of US $),VOXX Quarterly Net Income (Millions of US $).1
2024-11-30,$-44
2024-08-31,$2
2024-05-31,$-9
2024-02-29,$-21
2023-11-30,$2
2023-08-31,$-11
2023-05-31,$-11
2023-02-28,$-18
2022-11-30,$7
2022-08-31,$-10
2022-05-31,$-7
2022-02-28,$3
2021-11-30,$-28
2021-08-31,$0
2021-05-31,$3
2021-02-28,$9
2020-11-30,$18
2020-08-31,$7
2020-05-31,$-8
2020-02-29,$-22
2019-11-30,$2
2019-08-31,$-6
2019-05-31,$-1
2019-02-28,$-37
2018-11-30,$12
2018-08-31,$-21
2018-05-31,$-1
2018-02-28,$13
2017-11-30,$9
2017-08-31,$17
2017-05-31,$-3
2017-02-28,$-0
2016-11-30,$6
2016-08-31,$3
2016-05-31,$-4
2016-02-29,$-5
2015-11-30,$8
2015-08-31,$-4
2015-05-31,$-1
2015-02-28,$-14
2014-11-30,$16
2014-08-31,$-3
2014-05-31,$0
2014-02-28,$-49
2013-11-30,$15
2013-08-31,$5
2013-05-31,$2
2013-02-28,$10
2012-11-30,$13
2012-08-31,$4
2012-05-31,$-5
2012-02-29,$11
2011-11-30,$9
2011-08-31,$3
2011-05-31,$2
2011-02-28,$17
2010-11-30,$4
2010-08-31,$1
2010-05-31,$1
2010-02-28,$7
2009-11-30,$13
2009-08-31,$3
2009-05-31,$0
2009-02-28,$-70
