GE Vernova Quarterly Net Income (Millions of US $),GE Vernova Quarterly Net Income (Millions of US $).1
2024-12-31,$484
2024-09-30,$-96
2024-06-30,"$1,294"
2024-03-31,$-130
2023-12-31,$197
2023-09-30,$-170
2023-06-30,$-150
2023-03-31,$-315
2022-12-31,
2021-12-31,
