AYRO Quarterly Net Income (Millions of US $),AYRO Quarterly Net Income (Millions of US $).1
2024-09-30,$-2
2024-06-30,$4
2024-03-31,$-7
2023-12-31,$-13
2023-09-30,$-14
2023-06-30,$-6
2023-03-31,$-5
2022-12-31,$-7
2022-09-30,$-6
2022-06-30,$-6
2022-03-31,$-5
2021-12-31,$-8
2021-09-30,$-12
2021-06-30,$-8
2021-03-31,$-6
2020-12-31,$-5
2020-09-30,$-3
2020-06-30,$-2
2020-03-31,$-2
2019-12-31,$-3
2019-09-30,$-2
2019-06-30,$-2
2019-03-31,$-2
2018-12-31,$-7
2018-09-30,$-4
2018-06-30,$-4
2018-03-31,$-4
2017-12-31,$-3
2017-10-31,$-1
2017-09-30,$-3
2017-07-31,$-0
2017-06-30,$-2
2017-04-30,
2017-03-31,$-0
2017-01-31,$-1
2016-10-31,$-0
2016-07-31,$1
2016-04-30,
2016-01-31,$-1
2015-10-31,$-2
2015-07-31,$-4
2015-04-30,
2015-01-31,$-3
2014-10-31,$-4
2014-07-31,$-2
2014-04-30,$-1
2014-01-31,$-4
2013-10-31,$-0
2013-07-31,$-6
2013-04-30,$-6
2013-01-31,$-1
2012-10-31,$-0
2012-07-31,$1
2012-04-30,
2012-01-31,$-10
2011-10-31,$-2
2011-07-31,$-0
2011-04-30,
2011-01-31,$-3
2010-10-31,$-6
2010-07-31,$-0
2010-04-30,
2010-01-31,$0
2009-10-31,$0
2009-07-31,$0
2009-04-30,
2009-01-31,$0
