FuboTV Quarterly Net Income (Millions of US $),FuboTV Quarterly Net Income (Millions of US $).1
2024-12-31,$-39
2024-09-30,$-52
2024-06-30,$-25
2024-03-31,$-56
2023-12-31,$-70
2023-09-30,$-84
2023-06-30,$-50
2023-03-31,$-84
2022-12-31,$-152
2022-09-30,$-153
2022-06-30,$-116
2022-03-31,$-141
2021-12-31,$-112
2021-09-30,$-106
2021-06-30,$-95
2021-03-31,$-70
2020-12-31,$-168
2020-09-30,$-274
2020-06-30,$-73
2020-03-31,$-56
2019-12-31,$-19
2019-09-30,$-7
2019-06-30,$-6
2019-03-31,$-3
2018-12-31,$-3
2018-09-30,$-4
2018-06-30,$-2
2018-03-31,$-1
2017-12-31,$-0
2017-09-30,$-1
2017-06-30,$5
2017-03-31,$7
2016-12-31,$-5
2016-09-30,$-1
2016-06-30,$-2
2016-03-31,$-2
2015-12-31,$-6
2015-09-30,$-1
2015-06-30,$-0
2015-03-31,$-1
2014-12-31,
2014-09-30,$-1
2014-06-30,$-2
2013-12-31,
2012-12-31,
2011-12-31,
