Atlanticus Holdings Quarterly Net Income (Millions of US $),Atlanticus Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$26
2024-09-30,$23
2024-06-30,$18
2024-03-31,$20
2023-12-31,$20
2023-09-30,$19
2023-06-30,$19
2023-03-31,$20
2022-12-31,$18
2022-09-30,$26
2022-06-30,$28
2022-03-31,$39
2021-12-31,$44
2021-09-30,$40
2021-06-30,$32
2021-03-31,$39
2020-12-31,$22
2020-09-30,$34
2020-06-30,$18
2020-03-31,$3
2019-12-31,$1
2019-09-30,$13
2019-06-30,$5
2019-03-31,$6
2018-12-31,$23
2018-09-30,$-16
2018-06-30,$6
2018-03-31,$-5
2017-12-31,$-18
2017-09-30,$-14
2017-06-30,$-9
2017-03-31,$1
2016-12-31,$-2
2016-09-30,$-9
2016-06-30,$0
2016-03-31,$5
2015-12-31,$-2
2015-09-30,$0
2015-06-30,$1
2015-03-31,$2
2014-12-31,$35
2014-09-30,$-6
2014-06-30,$-11
2014-03-31,$-11
2013-12-31,$4
2013-09-30,$-9
2013-06-30,$-10
2013-03-31,$-3
2012-12-31,$1
2012-09-30,$33
2012-06-30,$-6
2012-03-31,$-4
2011-12-31,$3
2011-09-30,$2
2011-06-30,$101
2011-03-31,$28
2010-12-31,$-28
2010-09-30,$2
2010-06-30,$-29
2010-03-31,$-43
2009-12-31,$-55
2009-09-30,$-239
2009-06-30,$-134
2009-03-31,$-113
