Adicet Bio Quarterly Net Income (Millions of US $),Adicet Bio Quarterly Net Income (Millions of US $).1
2024-12-31,$-29
2024-09-30,$-30
2024-06-30,$-30
2024-03-31,$-28
2023-12-31,$-29
2023-09-30,$-50
2023-06-30,$-32
2023-03-31,$-31
2022-12-31,$-30
2022-09-30,$-22
2022-06-30,$-23
2022-03-31,$5
2021-12-31,$-16
2021-09-30,$-14
2021-06-30,$-11
2021-03-31,$-21
2020-12-31,$-9
2020-09-30,$-15
2020-06-30,$-8
2020-03-31,$-4
2019-12-31,$16
2019-09-30,$-15
2019-06-30,$-18
2019-03-31,$-11
2018-12-31,$23
2018-09-30,$-8
2018-06-30,$-14
2018-03-31,$-10
2017-12-31,$-23
2017-09-30,$-3
2017-06-30,$-4
2017-03-31,$-3
2016-12-31,
