INNOVATE Quarterly Net Income (Millions of US $),INNOVATE Quarterly Net Income (Millions of US $).1
2024-09-30,$-15
2024-06-30,$14
2024-03-31,$-18
2023-12-31,$-10
2023-09-30,$-7
2023-06-30,$-11
2023-03-31,$-10
2022-12-31,$-7
2022-09-30,$-7
2022-06-30,$-14
2022-03-31,$-14
2021-12-31,$-5
2021-09-30,$-213
2021-06-30,$-24
2021-03-31,$12
2020-12-31,$-7
2020-09-30,$-18
2020-06-30,$13
2020-03-31,$-84
2019-12-31,$-31
2019-09-30,$-8
2019-06-30,$9
2019-03-31,$-2
2018-12-31,$-16
2018-09-30,$153
2018-06-30,$55
2018-03-31,$-36
2017-12-31,$-9
2017-09-30,$-7
2017-06-30,$-19
2017-03-31,$-15
2016-12-31,$-67
2016-09-30,$-8
2016-06-30,$1
2016-03-31,$-32
2015-12-31,$-13
2015-09-30,$-9
2015-06-30,$-12
2015-03-31,$-6
2014-12-31,$11
2014-09-30,$-18
2014-06-30,$-4
2014-03-31,$-5
2013-12-31,$-16
2013-09-30,$-7
2013-06-30,$137
2013-03-31,$-3
2012-12-31,$-9
2012-09-30,$-25
2012-06-30,$69
2012-03-31,$-7
2011-12-31,$-3
2011-09-30,$-10
2011-06-30,$-6
2011-03-31,$-19
2010-12-31,$-10
2010-09-30,$5
2010-06-30,$-13
2010-03-31,$-1
2009-12-31,$5
2009-09-30,$434
2009-06-30,$25
2009-03-31,$14
