"Summit Midstream Partners, LP Quarterly Net Income (Millions of US $)","Summit Midstream Partners, LP Quarterly Net Income (Millions of US $).1"
2024-06-30,$-31
2024-03-31,$126
2023-12-31,$-22
2023-09-30,$-3
2023-06-30,$-20
2023-03-31,$-19
2022-12-31,$-31
2022-09-30,$-13
2022-06-30,$-97
2022-03-31,$13
2021-12-31,$-25
2021-09-30,$-1
2021-06-30,$-19
2021-03-31,$1
2020-12-31,$149
2020-09-30,$67
2020-06-30,$50
2020-03-31,$-2
2019-12-31,$-158
2019-09-30,$-8
2019-06-30,$-3
2019-03-31,$-44
2018-12-31,$29
2018-09-30,$47
2018-06-30,$-58
2018-03-31,$-13
2017-12-31,$-24
2017-09-30,$90
2017-06-30,$9
2017-03-31,$-3
2016-12-31,$12
2016-09-30,$-0
2016-06-30,$-51
2016-03-31,$-8
2015-12-31,$-218
2015-09-30,$21
2015-06-30,$1
2015-03-31,$0
2014-12-31,$-38
2014-09-30,$5
2014-06-30,$3
2014-03-31,$3
2013-12-31,$16
2013-09-30,$7
2013-06-30,$8
2013-03-31,$12
2012-12-31,$-7
2012-09-30,$7
2012-06-30,$9
2012-03-31,$8
2011-12-31,
2011-09-30,$10
2010-12-31,
