Scinai Immunotherapeutics Quarterly Net Income (Millions of US $),Scinai Immunotherapeutics Quarterly Net Income (Millions of US $).1
2024-09-30,$10
2024-06-30,
2024-03-31,$-2
2023-12-31,$-2
2023-09-30,$3
2023-06-30,$-4
2023-03-31,$-4
2022-12-31,$-5
2022-09-30,$5
2022-06-30,$-3
2022-03-31,$-2
2021-12-31,$36
2021-09-30,$-3
2021-06-30,$-39
2021-03-31,$-2
2020-12-31,$-4
2020-09-30,$16
2020-06-30,$-12
2020-03-31,$-1
2019-09-30,$-5
2019-03-31,$0
2018-12-31,$-1
2018-09-30,$-12
2018-06-30,$-7
2018-03-31,$-4
2017-09-30,$0
2017-03-31,$-3
2016-12-31,$-1
2016-09-30,$-1
2016-06-30,$-1
2016-03-31,$-0
2015-12-31,$-1
2015-09-30,$-0
2015-06-30,$-1
2015-03-31,$-0
