Legato Merger III Quarterly Net Income (Millions of US $),Legato Merger III Quarterly Net Income (Millions of US $).1
2024-11-30,$1
2024-08-31,$3
2024-05-31,$3
2024-02-29,$2
2023-12-31,
2023-11-30,
2023-09-30,
