Synlogic Quarterly Net Income (Millions of US $),Synlogic Quarterly Net Income (Millions of US $).1
2024-12-31,$6
2024-09-30,$-0
2024-06-30,$2
2024-03-31,$-32
2023-12-31,$-19
2023-09-30,$-12
2023-06-30,$-15
2023-03-31,$-16
2022-12-31,$-17
2022-09-30,$-18
2022-06-30,$-16
2022-03-31,$-16
2021-12-31,$-15
2021-09-30,$-16
2021-06-30,$-14
2021-03-31,$-15
2020-12-31,$-15
2020-09-30,$-13
2020-06-30,$-16
2020-03-31,$-16
2019-12-31,$-13
2019-09-30,$-13
2019-06-30,$-12
2019-03-31,$-13
2018-12-31,$-12
2018-09-30,$-11
2018-06-30,$-15
2018-03-31,$-11
2017-12-31,$-12
2017-09-30,$-12
2017-06-30,$-9
2017-03-31,$-7
2016-12-31,$-3
2016-09-30,$-5
2016-06-30,$-6
2016-03-31,$-7
2015-12-31,$-9
2015-09-30,$-8
2015-06-30,$-7
2015-03-31,$-5
2014-12-31,
2014-09-30,$-6
2014-06-30,
2013-12-31,
2012-12-31,
