INVESCO MORTGAGE CAPITAL INC Quarterly Net Income (Millions of US $),INVESCO MORTGAGE CAPITAL INC Quarterly Net Income (Millions of US $).1
2024-12-31,$-5
2024-09-30,$35
2024-06-30,$-19
2024-03-31,$24
2023-12-31,$22
2023-09-30,$-74
2023-06-30,$-1
2023-03-31,$16
2022-12-31,$31
2022-09-30,$-95
2022-06-30,$-116
2022-03-31,$-237
2021-12-31,$-73
2021-09-30,$49
2021-06-30,$-88
2021-03-31,$-20
2020-12-31,$112
2020-09-30,$97
2020-06-30,$-300
2020-03-31,"$-1,627"
2019-12-31,$107
2019-09-30,$78
2019-06-30,$7
2019-03-31,$128
2018-12-31,$-172
2018-09-30,$-64
2018-06-30,$80
2018-03-31,$41
2017-12-31,$137
2017-09-30,$49
2017-06-30,$47
2017-03-31,$87
2016-12-31,$270
2016-09-30,$129
2016-06-30,$-12
2016-03-31,$-156
2015-12-31,$109
2015-09-30,$-145
2015-06-30,$142
2015-03-31,$-17
2014-12-31,$-97
2014-09-30,$-3
2014-06-30,$-66
2014-03-31,$-67
2013-12-31,$-67
2013-09-30,$-9
2013-06-30,$139
2013-03-31,$84
2012-12-31,$88
2012-09-30,$83
2012-06-30,$79
2012-03-31,$83
2011-12-31,$76
2011-09-30,$81
2011-06-30,$73
2011-03-31,$52
2010-12-31,$39
2010-09-30,$26
2010-06-30,$21
2010-03-31,$12
2009-12-31,$9
2009-09-30,$6
2009-06-30,$-0
2009-03-31,$-0
