Aterian Quarterly Net Income (Millions of US $),Aterian Quarterly Net Income (Millions of US $).1
2024-09-30,$-2
2024-06-30,$-4
2024-03-31,$-5
2023-12-31,$-8
2023-09-30,$-6
2023-06-30,$-35
2023-03-31,$-26
2022-12-31,$-20
2022-09-30,$-117
2022-06-30,$-16
2022-03-31,$-43
2021-12-31,$-7
2021-09-30,$-111
2021-06-30,$-36
2021-03-31,$-83
2020-12-31,$-44
2020-09-30,$-1
2020-06-30,$-3
2020-03-31,$-15
2019-12-31,$-19
2019-09-30,$-15
2019-06-30,$-17
2019-03-31,$-8
2018-12-31,
2018-09-30,$-5
2018-06-30,$-9
