Pacific Biosciences Of California Quarterly Net Income (Millions of US $),Pacific Biosciences Of California Quarterly Net Income (Millions of US $).1
2024-09-30,$-61
2024-06-30,$-173
2024-03-31,$-78
2023-12-31,$-82
2023-09-30,$-67
2023-06-30,$-70
2023-03-31,$-88
2022-12-31,$-84
2022-09-30,$-77
2022-06-30,$-71
2022-03-31,$-81
2021-12-31,$-69
2021-09-30,$17
2021-06-30,$-41
2021-03-31,$-87
2020-12-31,$75
2020-09-30,$-24
2020-06-30,$-23
2020-03-31,$1
2019-12-31,$-0
2019-09-30,$-29
2019-06-30,$-25
2019-03-31,$-30
2018-12-31,$-31
2018-09-30,$-25
2018-06-30,$-23
2018-03-31,$-24
2017-12-31,$-21
2017-09-30,$-22
2017-06-30,$-26
2017-03-31,$-24
2016-12-31,$-19
2016-09-30,$-17
2016-06-30,$-18
2016-03-31,$-19
2015-12-31,$-1
2015-09-30,$2
2015-06-30,$-12
2015-03-31,$-20
2014-12-31,$-19
2014-09-30,$-9
2014-06-30,$-19
2014-03-31,$-19
2013-12-31,$-17
2013-09-30,$-20
2013-06-30,$-20
2013-03-31,$-21
2012-12-31,$-22
2012-09-30,$-23
2012-06-30,$-22
2012-03-31,$-28
2011-12-31,$-23
2011-09-30,$-29
2011-06-30,$-22
2011-03-31,$-35
2010-12-31,$-36
2010-09-30,$-41
2010-06-30,$-33
2010-03-31,$-30
2009-12-31,
2009-09-30,$-25
