Q32 Bio Quarterly Net Income (Millions of US $),Q32 Bio Quarterly Net Income (Millions of US $).1
2024-12-31,$-14
2024-09-30,$-18
2024-06-30,$-17
2024-03-31,$1
2023-12-31,$-27
2023-09-30,$-14
2023-06-30,$-6
2023-03-31,$-7
2022-12-31,$-34
2022-09-30,$-34
2022-06-30,$-29
2022-03-31,$92
2021-12-31,$-34
2021-09-30,$-31
2021-06-30,$-31
2021-03-31,$-1
2020-12-31,$-30
2020-09-30,$-28
2020-06-30,$-35
2020-03-31,$-35
2019-12-31,$-24
2019-09-30,$-30
2019-06-30,$-26
2019-03-31,$-24
2018-12-31,$-19
2018-09-30,$-14
2018-06-30,$-12
2018-03-31,$-10
2017-12-31,$-12
2017-09-30,$-7
2017-06-30,$-6
2017-03-31,$-6
2016-12-31,
