Cardlytics Quarterly Net Income (Millions of US $),Cardlytics Quarterly Net Income (Millions of US $).1
2024-12-31,$-16
2024-09-30,$-145
2024-06-30,$-4
2024-03-31,$-24
2023-12-31,$-101
2023-09-30,$-24
2023-06-30,$-24
2023-03-31,$14
2022-12-31,$-378
2022-09-30,$6
2022-06-30,$-126
2022-03-31,$33
2021-12-31,$-12
2021-09-30,$-45
2021-06-30,$-47
2021-03-31,$-25
2020-12-31,$-7
2020-09-30,$-15
2020-06-30,$-20
2020-03-31,$-14
2019-12-31,$3
2019-09-30,$-8
2019-06-30,$-7
2019-03-31,$-6
2018-12-31,$-12
2018-09-30,$-8
2018-06-30,$-13
2018-03-31,$-20
2017-12-31,$-4
2017-09-30,$-3
2017-06-30,$-5
2017-03-31,$-13
2016-12-31,
2015-12-31,
