Sonim Technologies Quarterly Net Income (Millions of US $),Sonim Technologies Quarterly Net Income (Millions of US $).1
2024-09-30,$-3
2024-06-30,$-7
2024-03-31,$-3
2023-12-31,$-1
2023-09-30,$1
2023-06-30,$1
2023-03-31,$0
2022-12-31,$-1
2022-09-30,$-2
2022-06-30,$-4
2022-03-31,$-7
2021-12-31,$-12
2021-09-30,$-11
2021-06-30,$-7
2021-03-31,$-9
2020-12-31,$-6
2020-09-30,$-6
2020-06-30,$-7
2020-03-31,$-10
2019-12-31,$-8
2019-09-30,$-7
2019-06-30,$-6
2019-03-31,$-5
2018-12-31,$4
2018-09-30,$-1
2018-06-30,$-3
2018-03-31,$-8
