Aytu BioPharma Quarterly Net Income (Millions of US $),Aytu BioPharma Quarterly Net Income (Millions of US $).1
2024-12-31,$1
2024-09-30,$1
2024-06-30,$-5
2024-03-31,$-3
2023-12-31,$-0
2023-09-30,$-8
2023-06-30,$-2
2023-03-31,$-7
2022-12-31,$-7
2022-09-30,$-1
2022-06-30,$-16
2022-03-31,$-53
2021-12-31,$-12
2021-09-30,$-28
2021-06-30,$-19
2021-03-31,$-25
2020-12-31,$-10
2020-09-30,$-4
2020-06-30,$-3
2020-03-31,$-5
2019-12-31,$-0
2019-09-30,$-5
2019-06-30,$-15
2019-03-31,$-4
2018-12-31,$-5
2018-09-30,$-3
2018-06-30,$1
2018-03-31,$-3
2017-12-31,$-4
2017-09-30,$-4
2017-06-30,$-7
2017-03-31,$-5
2016-12-31,$-5
2016-09-30,$-6
2016-06-30,$-15
2016-03-31,$-7
2015-12-31,$-3
2015-09-30,$-2
2015-06-30,$-2
2015-03-31,$-2
2015-02-28,$-0
2014-12-31,$-2
2014-11-30,$-0
2014-09-30,$-2
2014-08-31,$2
2014-06-30,$-4
2014-05-31,$-0
2014-03-31,$-2
2014-02-28,$-0
2013-11-30,$-0
2013-08-31,$-0
2013-05-31,$-0
2013-02-28,$-0
2012-11-30,$-0
2012-08-31,$-0
2012-05-31,$-0
2012-02-29,$-0
2011-11-30,$-0
2011-08-31,$-0
2011-05-31,$-0
2011-02-28,$-0
2010-11-30,$-0
2010-08-31,$-0
2010-05-31,$-0
2010-02-28,$-0
2009-11-30,$-0
2009-08-31,$-0
2009-05-31,$-0
2009-02-28,$-0
