Ambow Education Holding Quarterly Net Income (Millions of US $),Ambow Education Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$0
2023-12-31,
2023-06-30,$-1
2022-06-30,$-11
2021-06-30,$3
2021-03-31,$-2
2020-12-31,$1
2020-09-30,$-12
2020-06-30,$1
2020-03-31,$1
2019-12-31,$-2
2019-09-30,$-10
2019-06-30,$1
2019-03-31,$-4
2018-12-31,$4
2018-09-30,$-2
2018-06-30,$5
2018-03-31,$-1
2017-09-30,
2017-03-31,$-2
2016-12-31,$-2
2016-09-30,$-2
2016-06-30,$2
2016-03-31,$-3
2015-12-31,
2015-09-30,$-6
2015-06-30,$51
2014-12-31,
2013-12-31,
2012-12-31,
2012-03-31,$-13
2011-12-31,$-7
2011-09-30,$6
2011-06-30,$17
2011-03-31,$1
2010-12-31,$14
2010-09-30,$5
2010-06-30,$-1
2010-03-31,$1
2009-12-31,$12
2009-09-30,$1
