Community Health Systems Quarterly Net Income (Millions of US $),Community Health Systems Quarterly Net Income (Millions of US $).1
2024-12-31,$-71
2024-09-30,$-391
2024-06-30,$-13
2024-03-31,$-41
2023-12-31,$47
2023-09-30,$-91
2023-06-30,$-38
2023-03-31,$-51
2022-12-31,$415
2022-09-30,$-42
2022-06-30,$-326
2022-03-31,$-1
2021-12-31,$177
2021-09-30,$111
2021-06-30,$6
2021-03-31,$-64
2020-12-31,$311
2020-09-30,$112
2020-06-30,$70
2020-03-31,$18
2019-12-31,$-373
2019-09-30,$-17
2019-06-30,$-167
2019-03-31,$-118
2018-12-31,$-328
2018-09-30,$-325
2018-06-30,$-110
2018-03-31,$-25
2017-12-31,"$-2,013"
2017-09-30,$-110
2017-06-30,$-137
2017-03-31,$-199
2016-12-31,$-221
2016-09-30,$-79
2016-06-30,"$-1,432"
2016-03-31,$11
2015-12-31,$-84
2015-09-30,$52
2015-06-30,$111
2015-03-31,$79
2014-12-31,$100
2014-09-30,$62
2014-06-30,$42
2014-03-31,$-112
2013-12-31,$28
2013-09-30,$4
2013-06-30,$30
2013-03-31,$79
2012-12-31,$63
2012-09-30,$44
2012-06-30,$83
2012-03-31,$75
2011-12-31,$31
2011-09-30,$74
2011-06-30,$35
2011-03-31,$61
2010-12-31,$70
2010-09-30,$70
2010-06-30,$70
2010-03-31,$70
2009-12-31,$65
2009-09-30,$60
2009-06-30,$59
2009-03-31,$59
