Canopy Growth Quarterly Net Income (Millions of US $),Canopy Growth Quarterly Net Income (Millions of US $).1
2024-12-31,$-87
2024-09-30,$-94
2024-06-30,$-93
2024-03-31,$-69
2023-12-31,$-159
2023-09-30,$-231
2023-06-30,$-28
2023-03-31,$-486
2022-12-31,$-193
2022-09-30,$-170
2022-06-30,"$-1,631"
2022-03-31,$-465
2021-12-31,$-86
2021-09-30,$-9
2021-06-30,$320
2021-03-31,$-526
2020-12-31,$-694
2020-09-30,$-24
2020-06-30,$-78
2020-03-31,$341
2019-12-31,$-92
2019-09-30,$-283
2019-06-30,$-959
2019-03-31,$-253
2018-12-31,$51
2018-09-30,$-258
2018-06-30,$-62
2018-03-31,$-52
2017-12-31,$1
2017-09-30,$-1
2017-06-30,$-3
2017-03-31,$-16
