Associated Capital Quarterly Net Income (Millions of US $),Associated Capital Quarterly Net Income (Millions of US $).1
2024-12-31,$4
2024-09-30,$23
2024-06-30,$3
2024-03-31,$14
2023-12-31,$16
2023-09-30,$-0
2023-06-30,$3
2023-03-31,$18
2022-12-31,$14
2022-09-30,$-16
2022-06-30,$-30
2022-03-31,$-16
2021-12-31,$9
2021-09-30,$2
2021-06-30,$30
2021-03-31,$19
2020-12-31,$51
2020-09-30,$6
2020-06-30,$35
2020-03-31,$-73
2019-12-31,$11
2019-09-30,$6
2019-06-30,$-1
2019-03-31,$23
2018-12-31,$-40
2018-09-30,$-7
2018-06-30,$12
2018-03-31,$-22
2017-12-31,$16
2017-09-30,$2
2017-06-30,$5
2017-03-31,$-13
2016-12-31,$4
2016-09-30,$4
2016-06-30,$1
2016-03-31,$2
2015-12-31,$4
2015-09-30,$-8
2015-06-30,$1
2015-03-31,$2
2014-12-31,
2014-09-30,$-4
