Obsidian Energy Quarterly Net Income (Millions of US $),Obsidian Energy Quarterly Net Income (Millions of US $).1
2024-12-31,$-208
2024-09-30,$24
2024-06-30,$27
2024-03-31,$9
2023-12-31,$25
2023-09-30,$18
2023-06-30,$14
2023-03-31,$23
2022-12-31,$484
2022-09-30,$31
2022-06-30,$89
2022-03-31,$19
2021-12-31,$12
2021-09-30,$37
2021-06-30,$263
2021-03-31,$18
2020-12-31,$-1
2020-09-30,$-3
2020-06-30,$-16
2020-03-31,$-556
2019-12-31,$-411
2019-09-30,$-21
2019-06-30,$-121
2019-03-31,$-41
2018-12-31,$-86
2018-09-30,$-24
2018-06-30,$-74
2018-03-31,$-51
2017-12-31,$-43
2017-09-30,$-35
2017-06-30,$-7
2017-03-31,$20
2016-12-31,$-172
2016-09-30,$-178
2016-06-30,$-102
2016-03-31,$-73
2015-12-31,"$-1,203"
2015-09-30,$-584
2015-06-30,$-23
2015-03-31,$-206
2014-12-31,"$-1,394"
2014-09-30,$-13
2014-06-30,$130
2014-03-31,$-88
2013-12-31,$-662
2013-09-30,$26
2013-06-30,$-38
2013-03-31,$-96
2012-12-31,$-53
2012-09-30,$-67
2012-06-30,$236
2012-03-31,$60
2011-12-31,$-62
2011-09-30,$136
2011-06-30,$273
2011-03-31,$305
2010-12-31,$-21
2010-09-30,$-24
2010-06-30,$191
2010-03-31,$76
2009-12-31,$-11
2009-09-30,$6
2009-06-30,$-37
2009-03-31,$-98
