Luminar Technologies Quarterly Net Income (Millions of US $),Luminar Technologies Quarterly Net Income (Millions of US $).1
2024-09-30,$-119
2024-06-30,$-131
2024-03-31,$-126
2023-12-31,$-148
2023-09-30,$-134
2023-06-30,$-142
2023-03-31,$-147
2022-12-31,$-145
2022-09-30,$-118
2022-06-30,$-95
2022-03-31,$-88
2021-12-31,$-74
2021-09-30,$-51
2021-06-30,$-37
2021-03-31,$-76
2020-12-31,$-291
2020-09-30,$-37
2020-06-30,$-25
2020-03-31,$-16
2019-12-31,$-104
2019-09-30,$2
2019-06-30,$2
2019-03-31,$1
2018-12-31,
