Mesa Air Quarterly Net Income (Millions of US $),Mesa Air Quarterly Net Income (Millions of US $).1
2024-06-30,$-20
2024-03-31,$12
2023-12-31,$-58
2023-09-30,$-28
2023-06-30,$-48
2023-03-31,$-35
2022-12-31,$-9
2022-09-30,$-116
2022-06-30,$-10
2022-03-31,$-43
2021-12-31,$-14
2021-09-30,$-7
2021-06-30,$4
2021-03-31,$6
2020-12-31,$14
2020-09-30,$11
2020-06-30,$3
2020-03-31,$2
2019-12-31,$11
2019-09-30,$12
2019-06-30,$3
2019-03-31,$13
2018-12-31,$19
2018-09-30,$19
2018-06-30,$-11
2018-03-31,$2
2017-12-31,$23
2017-09-30,
2017-06-30,$15
2016-09-30,
2009-06-30,$-3
2009-03-31,$-37
