Granite Point Mortgage Trust Quarterly Net Income (Millions of US $),Granite Point Mortgage Trust Quarterly Net Income (Millions of US $).1
2024-12-31,$-42
2024-09-30,$-35
2024-06-30,$-67
2024-03-31,$-78
2023-12-31,$-17
2023-09-30,$-25
2023-06-30,$1
2023-03-31,$-37
2022-12-31,$-10
2022-09-30,$-29
2022-06-30,$-17
2022-03-31,$1
2021-12-31,$7
2021-09-30,$19
2021-06-30,$14
2021-03-31,$28
2020-12-31,$23
2020-09-30,$-25
2020-06-30,$-2
2020-03-31,$-37
2019-12-31,$18
2019-09-30,$17
2019-06-30,$18
2019-03-31,$17
2018-12-31,$17
2018-09-30,$17
2018-06-30,$15
2018-03-31,$15
2017-12-31,$14
2017-09-30,$11
2017-06-30,$14
2017-03-31,$13
2016-12-31,
2016-09-30,$10
2016-06-30,$8
2015-12-31,
