Leap Therapeutics Quarterly Net Income (Millions of US $),Leap Therapeutics Quarterly Net Income (Millions of US $).1
2024-09-30,$-18
2024-06-30,$-20
2024-03-31,$-14
2023-12-31,$-12
2023-09-30,$-14
2023-06-30,$-13
2023-03-31,$-42
2022-12-31,$-12
2022-09-30,$-15
2022-06-30,$-17
2022-03-31,$-10
2021-12-31,$-11
2021-09-30,$-11
2021-06-30,$-10
2021-03-31,$-9
2020-12-31,$-7
2020-09-30,$-7
2020-06-30,$-7
2020-03-31,$-17
2019-12-31,$-8
2019-09-30,$-8
2019-06-30,$-8
2019-03-31,$-9
2018-12-31,$1
2018-09-30,$-7
2018-06-30,$-7
2018-03-31,$-11
2017-12-31,$-7
2017-09-30,$-7
2017-06-30,$-7
2017-03-31,$-10
2016-12-31,$-6
2016-09-30,$-7
2016-06-30,$-7
2016-03-31,$-5
2015-12-31,
