Cronos Group Quarterly Net Income (Millions of US $),Cronos Group Quarterly Net Income (Millions of US $).1
2024-12-31,$44
2024-09-30,$8
2024-06-30,$-9
2024-03-31,$-2
2023-12-31,$-45
2023-09-30,$-2
2023-06-30,$-8
2023-03-31,$-19
2022-12-31,$-79
2022-09-30,$-37
2022-06-30,$-20
2022-03-31,$-33
2021-12-31,$-134
2021-09-30,$78
2021-06-30,$-179
2021-03-31,$-161
2020-12-31,$-111
2020-09-30,$69
2020-06-30,$-107
2020-03-31,$76
2019-12-31,$62
2019-09-30,$604
2019-06-30,$186
2019-03-31,$314
2018-12-31,$-16
2018-09-30,$-6
2018-06-30,$1
2018-03-31,$-1
2017-12-31,$2
2017-09-30,$1
2017-06-30,$0
2017-03-31,$-1
2016-12-31,$1
