Repay Holdings Quarterly Net Income (Millions of US $),Repay Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-4
2024-09-30,$3
2024-06-30,$-4
2024-03-31,$-5
2023-12-31,$-73
2023-09-30,$-6
2023-06-30,$-5
2023-03-31,$-26
2022-12-31,$-7
2022-09-30,$6
2022-06-30,$0
2022-03-31,$14
2021-12-31,$-16
2021-09-30,$-6
2021-06-30,$-12
2021-03-31,$-16
2020-12-31,$-9
2020-09-30,$-7
2020-06-30,$-79
2020-03-31,$-10
2019-12-31,$-23
2019-09-30,$-41
2019-06-30,$4
2019-03-31,$5
2018-12-31,$7
2018-09-30,$4
2018-06-30,$-0
2018-03-31,$0
2017-12-31,
2017-09-30,
2017-06-30,$-0
