Esperion Therapeutics Quarterly Net Income (Millions of US $),Esperion Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-21
2024-09-30,$-30
2024-06-30,$-62
2024-03-31,$61
2023-12-31,$-56
2023-09-30,$-41
2023-06-30,$-50
2023-03-31,$-62
2022-12-31,$-55
2022-09-30,$-55
2022-06-30,$-66
2022-03-31,$-57
2021-12-31,$-65
2021-09-30,$-69
2021-06-30,$-44
2021-03-31,$-91
2020-12-31,$-104
2020-09-30,$-85
2020-06-30,$125
2020-03-31,$-78
2019-12-31,$-62
2019-09-30,$-68
2019-06-30,$-54
2019-03-31,$87
2018-12-31,$-60
2018-09-30,$-50
2018-06-30,$-46
2018-03-31,$-46
2017-12-31,$-38
2017-09-30,$-45
2017-06-30,$-43
2017-03-31,$-41
2016-12-31,$-29
2016-09-30,$-17
2016-06-30,$-14
2016-03-31,$-15
2015-12-31,$-13
2015-09-30,$-13
2015-06-30,$-12
2015-03-31,$-11
2014-12-31,$-9
2014-09-30,$-10
2014-06-30,$-9
2014-03-31,$-8
2013-12-31,$-10
2013-09-30,$-5
2013-06-30,$-7
2013-03-31,$-4
2012-12-31,
2012-09-30,$-3
2012-06-30,$-3
2011-12-31,
