Xinyuan Real Estate Co Quarterly Net Income (Millions of US $),Xinyuan Real Estate Co Quarterly Net Income (Millions of US $).1
2024-06-30,
2020-12-31,$-39
2020-09-30,$23
2020-06-30,$-26
2020-03-31,$-40
2019-12-31,$34
2019-09-30,$4
2019-06-30,$11
2019-03-31,$20
2018-12-31,$70
2018-09-30,$20
2018-06-30,$-7
2018-03-31,$-10
2017-12-31,$33
2017-09-30,$14
2017-06-30,$9
2017-03-31,$7
2016-12-31,$12
2016-09-30,$28
2016-06-30,$27
2016-03-31,$6
2015-12-31,$19
2015-09-30,$23
2015-06-30,$20
2015-03-31,$4
2014-12-31,$25
2014-09-30,$8
2014-06-30,$7
2014-03-31,$10
2013-12-31,$26
2013-09-30,$29
2013-06-30,$39
2013-03-31,$27
2012-12-31,$34
2012-09-30,$32
2012-06-30,$69
2012-03-31,$23
2011-12-31,$28
2011-09-30,$31
2011-06-30,$31
2011-03-31,$12
2010-12-31,$22
2010-09-30,$8
2010-06-30,$10
2010-03-31,$12
2009-12-31,$25
2009-09-30,$15
2009-06-30,$4
2009-03-31,$1
